1 1.0
2 0.818181818182
3 0.909090909091
4 0.909090909091
5 0.909090909091
6 1.0
7 1.0
8 1.0
9 1.0
10 1.0
11 0.75
12 0.875
13 0.875
14 0.875
15 1.0
16 1.0
17 1.0
18 1.0
19 1.0
20 1.0
21 0.833333333333
22 1.0
23 0.833333333333
24 1.0
25 0.666666666667
26 1.0
27 1.0
28 1.0
29 0.75
30 1.0
31 0.75
32 0.75
33 1.0
34 0.75
35 0.75
36 1.0
37 1.0
38 1.0
39 1.0
40 1.0
41 1.0
42 1.0
43 1.0
44 1.0
45 1.0
46 1.0
47 1.0
48 1.0
49 1.0
50 1.0
51 1.0
52 1.0
53 1.0
54 1.0
55 1.0
56 1.0
57 1.0
58 1.0
59 1.0
60 1.0
61 1.0
62 1.0
63 0.5
64 1.0
65 1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 1.0
1 1.0
2 0.818181818182
3 0.909090909091
4 0.909090909091
5 0.909090909091
6 1.0
7 1.0
8 1.0
9 1.0
10 1.0
11 0.75
12 0.875
13 0.875
14 0.875
15 1.0
16 1.0
17 1.0
18 1.0
19 1.0
20 1.0
21 0.833333333333
22 1.0
23 0.833333333333
24 1.0
25 0.666666666667
26 1.0
27 1.0
28 1.0
29 0.75
30 1.0
31 0.75
32 0.75
33 1.0
34 0.75
35 0.75
36 1.0
37 1.0
38 1.0
39 1.0
40 1.0
41 1.0
42 1.0
43 1.0
44 1.0
45 1.0
46 1.0
47 1.0
48 1.0
49 1.0
50 1.0
51 1.0
52 1.0
53 1.0
54 1.0
55 1.0
56 1.0
57 1.0
58 1.0
59 1.0
60 1.0
61 1.0
62 1.0
63 0.5
64 1.0
65 1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 1.0
1 1.0
2 0.818181818182
3 0.909090909091
4 0.909090909091
5 0.909090909091
6 1.0
7 1.0
8 1.0
9 1.0
10 1.0
11 0.75
12 0.875
13 0.875
14 0.875
15 1.0
16 1.0
17 1.0
18 1.0
19 1.0
20 1.0
21 0.833333333333
22 1.0
23 0.833333333333
24 1.0
25 0.666666666667
26 1.0
27 1.0
28 1.0
29 0.75
30 1.0
31 0.75
32 0.75
33 1.0
34 0.75
35 0.75
36 1.0
37 1.0
38 1.0
39 1.0
40 1.0
41 1.0
42 1.0
43 1.0
44 1.0
45 1.0
46 1.0
47 1.0
48 1.0
49 1.0
50 1.0
51 1.0
52 1.0
53 1.0
54 1.0
55 1.0
56 1.0
57 1.0
58 1.0
59 1.0
60 1.0
61 1.0
62 1.0
63 0.5
64 1.0
65 1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 1.0
