fail calc

0.111111111111 10.5461111111
0 12.7877777778
0 14.6097777778
0.111111111111 8.53322222222
0 9.68722222222
0 7.97655555556
0.111111111111 12.7554444444
0 9.11666666667
0.111111111111 11.3198888889
0 8.87266666667
0 15.8387777778
0.111111111111 13.3645555556
0 13.4903333333
0.333333333333 16.0511111111
0.222222222222 10.3864444444
0 8.27511111111
0 7.05055555556
0 9.63966666667
0.222222222222 9.79744444444
0.111111111111 8.65555555556
0 14.1882222222
0.111111111111 9.64455555556
0.111111111111 10.0461111111
0 10.6487777778
0.111111111111 9.76877777778
0 15.3064444444
0.473684210526 7.52384210526
0 7.90033333333
0 8.40922222222
0.111111111111 13.9098888889
0 8.15755555556
0.111111111111 12.2883333333
0 13.6096666667
0 10.7675555556
0.333333333333 14.678
0 9.14866666667
0 7.71488888889
0 8.11644444444
0.111111111111 10.5461111111
0 12.7877777778
0 14.6097777778
0.111111111111 8.53322222222
0 9.68722222222
0 7.97655555556
0.111111111111 12.7554444444
0 9.11666666667
0.111111111111 11.3198888889
0 8.87266666667
0 15.8387777778
0.111111111111 13.3645555556
0 13.4903333333
0.333333333333 16.0511111111
0.222222222222 10.3864444444
0 8.27511111111
0 7.05055555556
0 9.63966666667
0.222222222222 9.79744444444
0.111111111111 8.65555555556
0 14.1882222222
0.111111111111 9.64455555556
0.111111111111 10.0461111111
0 10.6487777778
0.111111111111 9.76877777778
0 15.3064444444
0.473684210526 7.52384210526
0 7.90033333333
0 8.40922222222
0.111111111111 13.9098888889
0 8.15755555556
0.111111111111 12.2883333333
0 13.6096666667
0 10.7675555556
0.333333333333 14.678
0 9.14866666667
0 7.71488888889
0 8.11644444444
